filer,filingYear,sourceName,address,cityAndState,amount,reimbursedAmount,onDate,throughDate,giftOrIncome,madeASpeechParticipatedInPanel,giftTravelDestination,otherDescription,formUrl,legislatorDigitalDemocracyUrl
Cecilia Aguiar-Curry,2021,Governor's Cup Foundation,755 Riverpoint Drive,"West Sacramento, CA",2060.04,0,2021-06-15,2021-06-17,Gift,true,"Pebble Beach, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2021,TechNet,"1001 K Street, 6th Floor","Sacramento, CA",755.59,0,2021-11-10,2021-11-11,Gift,false,"San Francisco, CA",Received TechNet 2021 Legislator of the Year Award,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f6c85250-b252-45e1-abc5-87387eab9528.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA",752.44,0,2022-02-03,2022-02-04,Gift,false,"Napa, CA",Federal Finance Conference,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,California Issues Forum,1717 I Street,"Sacramento, CA 95811",590,0,2022-03-11,2022-03-11,Gift,true,"Los Angeles, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,California Issues Forum,1717 I Street,"Sacramento, CA 95811",920.29,0,2022-12-12,2022-12-14,Gift,true,"Napa, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,California Latino Legislative Caucus Foundation,"777 S. Figueroa Street, Suite 4050","Los Angeles, CA 90017",1157.79,0,2022-03-18,2022-03-19,Gift,true,"Anaheim, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,California Manufacturers and Technology Association,"1121 L Street, Suite 700","Sacramento, CA",400.64,0,2022-02-10,2022-02-11,Gift,false,"San Pedro, CA",California Manufacturers & Technology Forum and Tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,California Teachers Association,1118 10th Street,"Sacramento, CA",361.7,0,2022-03-24,2022-03-25,Gift,false,"Sonoma, CA",Bay Area Caucus Legislative Summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,Foundation for California's Technology and Innovation Economy,"777 S. Figueroa Street, Suite 4050","Los Angeles, CA 90017",1630,0,2022-08-04,2022-08-04,Gift,true,"Napa, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,San Manuel Band of Mission Indians,26569 Community Center Drive,"Highland, CA",162.98,0,2022-03-24,2022-03-24,Gift,false,"Sonoma, CA",Bay Area Caucus Legislative Summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2022,United Food and Commercial Workers Western States Council,8530 Stanton Avenue,"Buena Park, CA",162.98,0,2022-03-24,2022-03-25,Gift,false,"Sonoma, CA",Bay Area Caucus Legislative Summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/af99f117-c889-4391-aa68-5b60f1dd5ab0.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2023,California Biotechnology Foundation,"1215 K Street, Suite 970 ","Sacramento, CA 95814",3379,0,2023-10-03,2023-10-05,Gift,false,"Boston, MA",travel related to Life Sciences CA Policvmaker Conference,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f676be96-f906-4e9d-9794-00a11f896cb5.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2023,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA 94133",1007.49,0,2023-02-09,2023-02-10,Gift,false,"Napa, CA","travel related to Energy Policy Conference 
",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f676be96-f906-4e9d-9794-00a11f896cb5.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2023,California Foundation on the Environment and the Economy,920 11th Street,"Sacramento, CA 95814 ",12049.19,0,2023-03-31,2023-04-08,Gift,false,Denmark,travel related to legislative study tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f676be96-f906-4e9d-9794-00a11f896cb5.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2023,California Foundation on the Environment and the Economy,920 11th Street ,"Sacramento, CA 95814",351.45,0,2023-06-22,2023-06-23,Gift,false,"Napa, CA",travel related to transportation policy conference,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f676be96-f906-4e9d-9794-00a11f896cb5.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2023,California Foundation on the Environment and the Economy,"777 S. Figueroa Street, Suite 4050","Los Angeles, CA 90017",1189,0,2023-11-09,2023-11-10,Gift,false,"Napa, CA",Travel related to Tech Foundation Legislative conference,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f676be96-f906-4e9d-9794-00a11f896cb5.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Cecilia Aguiar-Curry,2023,The Regents of the University of California,1130 K Street,"Sacramento, CA 95814",403.18,0,2023-11-30,2023-11-30,Gift,false,"Berkeley, CA","travel related to end of year
dinner and conversation with UC President Drake",https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f676be96-f906-4e9d-9794-00a11f896cb5.pdf,https://digitaldemocracy.calmatters.org/legislators/cecilia-aguiar-curry-101332
Juan Alanis,2023,Association of California Life and Health Insurance Companies,"1201 K Street, Suite 1820 Sacramento, CA 94965",,464.92,0,2023-10-11,,Gift,true,Pebble Beach,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2023,Association of California Life and Health Insurance Companies,"1201 K Street, Suite 1820","Sacramento, CA 94965",,0,2023-10-11,2023-10-13,Gift,true,Pebble Beach,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2023,Association of California Life and Health Insurance Companies,"1201 K Street, Suite 1820 Sacramento, CA 94965",,97.89,0,2023-10-12,,Gift,true,Pebble Beach,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2023,Association of California Life and Health Insurance Companies,"1201 K Street, Suite 1820 Sacramento, CA 94965",,98.1,0,2023-10-12,,Gift,true,Pebble Beach,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2023,Association of California Life and Health Insurance Companies,"1201 K Street, Suite 1820 Sacramento, CA 94965",,622.36,0,2023-10-12,,Gift,true,Pebble Beach,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2023,Association of California Life and Health Insurance Companies,"1201 K Street, Suite 1820 Sacramento, CA 94965",,65.18,0,2023-10-13,,Gift,true,Pebble Beach,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2023,California Chamber of Commerce," 1215 K Street, Suite 1400, Sacramento, CA 95814 ",,2091.11,0,2023-10-24,2023-10-25,Gift,true,Dana Point ,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2023,California Foundation on the Environment and the Economy,"920 11th Street, Sacramento, CA 95814",,4847.71,0,2023-09-24,2023-09-29,Gift,true,California,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Juan Alanis,2023,California Problem Solvers Foundation,"400 Capitol Mall, Suite 2400, Sacramento, CA 9581",,4398.9,0,2023-11-06,2023-11-08,Gift,true,Dana Point ,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/c5442f97-bf11-48eb-bc80-74ab4284eefa.pdf,https://digitaldemocracy.calmatters.org/legislators/juan-alanis-165456
Ben Allen,2020,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA 94133",111.07,0,2020-02-06,2020-02-06,Gift,true,"Napa, California",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f131ee88-a803-4af5-8457-e0a0afa238be.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2020,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA 94133",695,0,2020-03-05,2020-03-06,Gift,true,"Berkeley, California",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f131ee88-a803-4af5-8457-e0a0afa238be.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2020,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA 94133",3138.45,0,2020-10-11,2020-10-16,Gift,,"Portland, Oregon & Seattle, Washington",Recyling Tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f131ee88-a803-4af5-8457-e0a0afa238be.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2021,British-American Project US,"253 South Broadway, Unit 206","Los Angeles, CA",2769.98,0,2021-11-18,2021-11-22,Gift,false,"Glasgow, Scotland",Conference of transatlantic leaders,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2021,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA",6364.64,0,2021-09-19,2021-09-24,Gift,false,"Vancouver & Toronto, Canada",Study Tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2021,Urika Center for Policy Research,"311 Oak Street, Suite 323","Oakland, CA",861,0,2021-11-01,2021-11-03,Gift,false,"Baja California, Mexico",Study Tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9d6bb0fb-8850-4abd-9f8e-1496a83349b5.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2022,California Foundation on the Environment and the Economy,920 11th Street,"Sacramento, CA",769.11,0,2022-03-03,2022-03-04,Gift,false,"Berkeley, CA",Conference on Energy,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2022,California Foundation on the Environment and the Economy,920 11th Street,"Sacramento, CA",7323.97,0,2022-07-24,2022-07-29,Gift,false,Montreal & Maine,Educational Tour on Recycling and Waste Management,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2022,California Foundation on the Environment and the Economy,920 11th Street,"Sacramento, CA",2521.38,0,2022-12-11,2022-12-13,Gift,false,Montreal,UN Convention on Biological Diversity COP Conference,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2022,California Latino Legislative Caucus Foundation,777 South Figuerooa Street #4050,"Los Angeles, CA",12540,0,2022-07-05,2022-07-13,Gift,false,Israel,Legislative Delagation Trip,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/87eb20d2-513d-4203-bd09-bb66098f41ed.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2023,California Foundation on the Environment and the Economy,"Pier 35, Suite 202","San Francisco, CA 94133 ",1007.49,0,2023-02-09,2023-02-10,Gift,false,"Napa, California ",Conference on Energy,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/39b46798-83d4-4dcc-bfd8-065d1d7104a4.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2023,California Foundation on the Environment and the Economy,"Pier 35, Suite 202 ","San Francisco, CA 94133 ",954.1,0,2023-06-22,2023-06-23,Gift,false,"Napa, California",Conference on Transportation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/39b46798-83d4-4dcc-bfd8-065d1d7104a4.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2023,California Foundation on the Environment and the Economy,"Pier 35, Suite 202 ","San Francisco, CA 94133 ",7765.17,0,2023-07-29,2023-08-04,Gift,false,Study Tour to British Columbia & Alberta,Educational Tour on Recycling and Waste Management ,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/39b46798-83d4-4dcc-bfd8-065d1d7104a4.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2023,Ideate Labs,12820 Halkirk St ,"Studio City, California 91604 ",896.76,0,2023-10-15,2023-10-17,Gift,false,El Salvador,Policy Summit on El Salvador’s political and business landscape,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/39b46798-83d4-4dcc-bfd8-065d1d7104a4.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2023,Smart Justice California,2500 Steiner Street #8,"San Francisco, CA 94115",1678.54,0,2023-02-02,2023-02-04,Gift,false,"San Diego, California",Policy Summit,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/39b46798-83d4-4dcc-bfd8-065d1d7104a4.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Ben Allen,2023,The Climate Registry,600 Wilshire Blvd. Suite 202,Los Angeles CA 90017 ,1657.95,0,2023-09-18,2023-09-21,Gift,true,"New York City, New York",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/39b46798-83d4-4dcc-bfd8-065d1d7104a4.pdf,https://digitaldemocracy.calmatters.org/legislators/benjamin-allen-70
Marie Alvarado-Gil,2022,California Issues Forum,1717 I Street ,"Sacramento,CA 95811",1000.29,0,2022-12-12,2022-12-14,Gift,true,"Napa, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/827fb1dd-03b1-456d-9c8b-2924c5770723.pdf,https://digitaldemocracy.calmatters.org/legislators/marie-alvarado-gil-165433
Marie Alvarado-Gil,2022,California Issues Forum,1717 I Street ,"Sacramento,CA 95811",1278.32,0,2022-12-15,2022-12-16,Gift,true,"Napa, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/827fb1dd-03b1-456d-9c8b-2924c5770723.pdf,https://digitaldemocracy.calmatters.org/legislators/marie-alvarado-gil-165433
Marie Alvarado-Gil,2023,California Border Issues Project,"1717 I Street Sacramento, CA 95814",,3078.13,0,2023-10-30,2023-11-04,Gift,true,Mexico City,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fa0c31f9-b583-4ebc-9df5-ffa164aa8df5.pdf,https://digitaldemocracy.calmatters.org/legislators/marie-alvarado-gil-165433
Marie Alvarado-Gil,2023,California Chamber of Commerce,,,629.89,0,2023-10-25,2023-10-25,Gift,true,Dana Point,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fa0c31f9-b583-4ebc-9df5-ffa164aa8df5.pdf,https://digitaldemocracy.calmatters.org/legislators/marie-alvarado-gil-165433
Marie Alvarado-Gil,2023,California Problem Solvers Foundation,"1121 L Street, Suite 105",Sacramento CA 95814,4398.9,0,2023-11-06,2023-11-08,Gift,true,Dana Point,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fa0c31f9-b583-4ebc-9df5-ffa164aa8df5.pdf,https://digitaldemocracy.calmatters.org/legislators/marie-alvarado-gil-165433
Marie Alvarado-Gil,2023,Ideate Labs,,,1075.56,0,2023-10-12,2023-10-17,Gift,true,El Salvador,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fa0c31f9-b583-4ebc-9df5-ffa164aa8df5.pdf,https://digitaldemocracy.calmatters.org/legislators/marie-alvarado-gil-165433
Marie Alvarado-Gil,2023,Independent Voter Project,"2700 Adams Avenue, Suite 202",San Diego CA 92116,3152,0,2023-11-12,2023-11-17,Gift,true,Haiwaii,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/fa0c31f9-b583-4ebc-9df5-ffa164aa8df5.pdf,https://digitaldemocracy.calmatters.org/legislators/marie-alvarado-gil-165433
David Alvarez,2022,Council of State Governments West,"1107 9th Street, Suite 730","Sacramento, CA",643.89,0,2022-10-17,2022-10-19,Gift,true,"Henderson, NV",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2022,Council of State Governments West,"1107 9th Street, Suite 730","Sacramento, CA ",3662.54,0,2022-12-13,2022-12-16,Gift,,"Colorado Springs, CO",Travel related to policy leadership training,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2022,Foundation for California's Technology and Innovation Economy,"777 S. Figueroa Street, Suite 4050","Los Angeles, CA",1990,0,2022-08-04,2022-08-05,Gift,false,"Napa, CA",Travel related to legislative policy delegation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2022,Independent Voter Project,"2700 Adams Avenue, Suite 202","San Diego, CA",2531,0,2022-11-13,2022-11-18,Gift,true,"Maui, Hawaii",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2022,Institute of Governmental Advocates,"455 Capitol Mall, Suite 600","Sacramento, CA",230,0,2022-09-08,2022-09-09,Gift,true,"Lake Tahoe, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2022,San Diego Regional Chamber of Commerce,402 W. Broadway #1000,"San Diego, CA",460,0,2022-10-23,2022-10-26,Gift,false,"Mexico City, Mexico",Travel related to international policy delegation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5e3bbb42-bd15-4ac5-af20-9e56317a3b5c.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2023,California Border Issues Project,1717 I Street ,Sacramento,3078.13,0,2023-10-30,2023-11-04,Gift,false,"Mexico City, Mexico",Legislative delegation trip; educational,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/de1fa882-d9ff-42de-ad3d-27de41afe631.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2023,California Foundation on the Environment and the Economy,920 11th Street,"Sacramento, CA",989.2,0,2023-06-22,2023-06-23,Gift,true,"Napa, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/de1fa882-d9ff-42de-ad3d-27de41afe631.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2023,California Issues Forum,"1127 11th Street, Suite 331","Sacramento, CA",51.08,0,2023-04-13,2023-04-13,Gift,false,"Richmond, CA",Educational Tour,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/de1fa882-d9ff-42de-ad3d-27de41afe631.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2023,California Issues Forum,1717 I Street,"Sacramento, CA",312,0,2023-12-11,2023-12-13,Gift,true,"La Jolla, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/de1fa882-d9ff-42de-ad3d-27de41afe631.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
David Alvarez,2023,California Latino Legislative Caucus Foundation,"777 S. Figueroa Street, Suite 4050","Los Angeles, CA",676.26,0,2023-03-03,2023-03-04,Gift,true,"Anaheim, CA",,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/de1fa882-d9ff-42de-ad3d-27de41afe631.pdf,https://digitaldemocracy.calmatters.org/legislators/david-alvarez-112993
