filer,filingYear,sourceName,address,businessActivity,position,grossIncome,consideration,saleOf,commissionOrRentalIncomeDescription,otherDescription,formUrl,legislatorGlassHouseUrl
Joaquin Arambula,2022,ERP Operating Limited,"Two North Riverside, Chicago IL 60606",real estate,investor,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/84493db1-4846-4f47-8c70-f76c36c01cb1.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Joaquin Arambula,2023,ERP Operating Limited,"Two North Riverside, Chicago IL 60606",real estate,investor,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/2a059c76-c211-4950-856c-f05c26cb68ee.pdf,https://calmatters.org/legislator-tracker/joaquin-arambula-1977
Angelique Ashby,2022,California State Legislature,"1031 O St, Sacramento CA 95814",State Government,senator,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/43b1da2a-3081-4651-8683-f0cc85041a6b.pdf,https://calmatters.org/legislator-tracker/angelique-ashby-1975
Angelique Ashby,2022,Sutter General Hospital,"2801 L St Sacramento, CA 95816",Health Care,Assistant Nurse Manager - Emergency Room,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/43b1da2a-3081-4651-8683-f0cc85041a6b.pdf,https://calmatters.org/legislator-tracker/angelique-ashby-1975
Angelique Ashby,2023,California State Legislature ,"1021 O St Rm 7320, Sacramento CA 95814 ",State Government ,Senator,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/3893bed8-bd59-4e8e-97b0-daccbba0601a.pdf,https://calmatters.org/legislator-tracker/angelique-ashby-1975
Angelique Ashby,2023,Sutter General Hospital ,"2801 L St Sacramento, CA 95816",Health Care ,Assistant Nurse Manager - Emergency Room,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/3893bed8-bd59-4e8e-97b0-daccbba0601a.pdf,https://calmatters.org/legislator-tracker/angelique-ashby-1975
Jasmeet Bains,2022,Adventist Health,"2615 Chester Ave, Bakersfield, CA 93301",Medical Services,Doctor,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/2a467e02-dcc9-478c-9da4-565e5f0e5381.pdf,https://calmatters.org/legislator-tracker/jasmeet-bains-1985
Jasmeet Bains,2022,Bakersfield Recovery Services,"531 Knotts St. Bakersfield, CA 93305",Medical Services,Medical Director,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/2a467e02-dcc9-478c-9da4-565e5f0e5381.pdf,https://calmatters.org/legislator-tracker/jasmeet-bains-1985
Jasmeet Bains,2023,Adventist Health,"2615 Chester Ave, Bakersfield, CA 93301",Medical Services,Medical Doctor,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/115a6d13-929f-43fb-b793-a238c3fcf2b5.pdf,https://calmatters.org/legislator-tracker/jasmeet-bains-1985
Jasmeet Bains,2023,Bakersfield Recovery Services,"531 Knotts St. Bakersfield, CA 93305",Medical services,Medical Doctor,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/115a6d13-929f-43fb-b793-a238c3fcf2b5.pdf,https://calmatters.org/legislator-tracker/jasmeet-bains-1985
Patricia Bates,2021,JPB Investments,"31631 Sea Shadows, Laguna Niguel","Property Mgt, Ownership",Spouse/Co-Owner,"$10,001 - $100,000",Rental income,,Susan Glomac - Greg Doerr,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cb9b61b8-1195-4f6a-880a-a87c148dc1be.pdf,https://calmatters.org/legislator-tracker/patricia-bates
Patricia Bates,2021,John Bates Associates,"31631 Sea Shadows, Laguna Niguel",Architecture/Land Planning,Spouse,No income - business position only,,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/cb9b61b8-1195-4f6a-880a-a87c148dc1be.pdf,https://calmatters.org/legislator-tracker/patricia-bates
Rebecca Bauer-Kahan,2021,Watermark Insights LLC,"71 West 23rd St., 15th Floor, New York, NY 10010",Software Development,Chief Product and Technology Officer,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/a1b99cbf-7c93-4ae6-a92a-415b16594676.pdf,https://calmatters.org/legislator-tracker/rebecca-bauer-kahan-1978
Rebecca Bauer-Kahan,2022,Watermark Insights LLC,"71 West 23rd St., 15th Floor, New York, NY 10010",Software Development,Chief Product and Technology Officer,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/b5202e3e-0eb9-466d-85dc-339f22d7c5d2.pdf,https://calmatters.org/legislator-tracker/rebecca-bauer-kahan-1978
Rebecca Bauer-Kahan,2023,Watermark Insights LLC,"71 West 23rd St, 15th Floor, New York, NY 10010",Software Development,Chief Product and Technology Officer,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/5d35ce90-f9f3-4ae3-9dc0-495265200dae.pdf,https://calmatters.org/legislator-tracker/rebecca-bauer-kahan-1978
Josh Becker,2021,"Akkadian Holdings IV, LP","750 Battery St, San Francisco, CA 94111",Investment Fund,Limited Partner,"$10,001 - $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8dea1d95-1d39-4b1e-8223-5c949ce6e445.pdf,https://calmatters.org/legislator-tracker/josh-becker
Josh Becker,2021,Minnesota Street Project Foundation/ICASF,"1275 Minnesota St, San Francisco, CA 94107",Art Museum,Deputy Director,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8dea1d95-1d39-4b1e-8223-5c949ce6e445.pdf,https://calmatters.org/legislator-tracker/josh-becker
Josh Becker,2021,Radimmune Therapeutics,"1324 Howard ST, Ste 919, Burlingame, CA 94010",Cancer Research & Therapeutics,Co-founder/Acting General Counsel,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8dea1d95-1d39-4b1e-8223-5c949ce6e445.pdf,https://calmatters.org/legislator-tracker/josh-becker
Josh Becker,2021,"SB Technology, Inc","303 South Broadway, Ste 105, Tarrytown NY 10591",Quantum Computing Applications,Advisor,"$10,001 - $100,000",Other,,,Advisor to the company,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8dea1d95-1d39-4b1e-8223-5c949ce6e445.pdf,https://calmatters.org/legislator-tracker/josh-becker
Josh Becker,2021,VARIETY LIGHTS,"750 Battery St., San Francisco, CA 94111",Restaurant,Investor,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8dea1d95-1d39-4b1e-8223-5c949ce6e445.pdf,https://calmatters.org/legislator-tracker/josh-becker
Josh Becker,2022,"Akkadian Holdings IV, LP","750 Battery St, San Francisco, CA 94111",Investment Fund,Investor,"$10,001 - $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d439239e-06db-4c4e-849b-86bbc65f5752.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2022,Bertelsmann,"Carl-Bertelsmann-Strasse 270 Guetersloh, 33311 Germany","Media, Services and Education",See comment,"Over $100,000",Other,,,See comment,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d439239e-06db-4c4e-849b-86bbc65f5752.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2022,InMed Pharmaceuticals,"#310-815 West Hastings St. Vancouver, British Columbia V6C 1B4",Pharmaceutical Company,Shareholder,"$1,001 - $10,000",Other,,,Cash Distribution,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d439239e-06db-4c4e-849b-86bbc65f5752.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2022,J-Ventures Capital Fund II,"PO Box 3217, Seattle, WA 98114",Investment Fund,Investor,"$500 - $1,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d439239e-06db-4c4e-849b-86bbc65f5752.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2022,Minnesota Street Project Foundation/ICASF,"1275 Minnesota St, San Francisco, CA 94107",Art Museum,Deputy Director,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d439239e-06db-4c4e-849b-86bbc65f5752.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2022,Radimmune Therapeutics,"1324 Howard ST, Ste 919, Burlingame, CA 94010",Cancer Research & Therapeutics,Head of Corporate Affairs,"Over $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d439239e-06db-4c4e-849b-86bbc65f5752.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2022,"SB Technology, Inc","303 South Broadway, Ste 105, Tarrytown NY 10591",Quantum Computing Applications,Advisor,"Over $100,000",Other,,,Advisor to the company,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d439239e-06db-4c4e-849b-86bbc65f5752.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2022,VARIETY LIGHTS,"750 Battery St., San Francisco, CA 94111",Restaurant,Investor,"$10,001 - $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/d439239e-06db-4c4e-849b-86bbc65f5752.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2023,"Akkadian Holdings IV, LP","750 Battery St San Francisco, CA 94111 ",Investment Fund,Investor,"$10,001 - $100,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bb8d3e75-9a82-4c37-b27c-efdcea519650.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2023,Blue Run Spirits ,"209 Shawnee Trail Georgetown, KY 40324",Craft Distillery,,"$10,001 - $100,000",Loan repayment,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bb8d3e75-9a82-4c37-b27c-efdcea519650.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2023,Institute of Contemporary Art San Francisco,"1275 Minnesota St San Francisco, CA 94107 ",Art Museum ,Deputy Director/Consultant,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bb8d3e75-9a82-4c37-b27c-efdcea519650.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2023,Radimmune Therapeutics ,"1324 Howard St Ste 919 Burlingame, CA 94010 ",Cancer Research & Therapeutics ,Cofounder/Head of Corporate Affairs ,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bb8d3e75-9a82-4c37-b27c-efdcea519650.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2023,"SB Technology, Inc ","303 South Broadway Ste 105 Tarrytown, NY 10591",Quantum Computing Applications,Advisor ,"Over $100,000",Other,,,Advisor to the company,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bb8d3e75-9a82-4c37-b27c-efdcea519650.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2023,Ulu Ventures ,"115 Everett Avenue Palo Alto, CA 94301",Investment Fund,,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bb8d3e75-9a82-4c37-b27c-efdcea519650.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Josh Becker,2023,VARIETY LIGHTS,"San Francisco, CA 94111 ",Restaurant,Investor,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/bb8d3e75-9a82-4c37-b27c-efdcea519650.pdf,https://calmatters.org/legislator-tracker/josh-becker-1969
Marc Berman,2021,Lucy Berman & Sons LLC,Parcel Number 003-08-036,Investing,Partner,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/da1e29da-1588-4c5c-a993-39b93957f8f0.pdf,https://calmatters.org/legislator-tracker/marc-berman-1980
Marc Berman,2021,Stripe,"354 Oyster Point Blvd, South SF, CA 94080",Payment processing,Employee,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/da1e29da-1588-4c5c-a993-39b93957f8f0.pdf,https://calmatters.org/legislator-tracker/marc-berman-1980
Marc Berman,2022,Stripe,"354 Oyster Point Blvd, South SF, CA 94080",Payment processing,Employee,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/e1e1c6e5-ada7-47bc-b617-d3c2cdf96f1a.pdf,https://calmatters.org/legislator-tracker/marc-berman-1980
Marc Berman,2023,Lucy Berman & Sons LLC,Parcel Number 003-08-036,Investing,Partner,"$1,001 - $10,000",Partnership,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/90f56bf3-6053-45ab-b1cd-77f1a6caf3f3.pdf,https://calmatters.org/legislator-tracker/marc-berman-1980
Marc Berman,2023,Stripe,"354 Oyster Point Blvd, South SF, CA 94080",Payment processing,Employee,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/90f56bf3-6053-45ab-b1cd-77f1a6caf3f3.pdf,https://calmatters.org/legislator-tracker/marc-berman-1980
Catherine Blakespear,2022,TrueCare,"150 Valpreda Road, San Marcos, CA",,Physician Assistant (Spouse),"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/55aa83f7-d21e-4fd9-9a33-729069e72094.pdf,https://calmatters.org/legislator-tracker/catherine-blakespear-1976
Catherine Blakespear,2023,TrueCare,150 Valpreda Rd. San Marcos CA ,,Physician Assistant (Spouse),"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f431f488-eeb7-4faf-a5ef-81d462a24143.pdf,https://calmatters.org/legislator-tracker/catherine-blakespear-1976
Richard Bloom,2021,"Select Medical, Inc.","4717 Gettysburg Rd. Mechanicsburg, PA 17055",,Healthcare Administrator,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9a19c134-fa0a-4b96-bb16-13750332ccd8.pdf,https://calmatters.org/legislator-tracker/richard-bloom
Tasha Boerner,2021,Pfizer,"10646 Science Centr Dr., San Diego, CA 92121",Pharmaceutical Resarch,Bioinformatician,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/39b6537a-db42-4a6a-b4e6-f9ff7b033e00.pdf,https://calmatters.org/legislator-tracker/tasha-boerner-horvath-1973
Tasha Boerner,2022,Pfizer,"10648 Science Ctr. Dr., San Diego CA 92121",Pharmaceutical Research,Bioinformatician,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ed738055-b19d-486c-91c4-e36c257fbe9b.pdf,https://calmatters.org/legislator-tracker/tasha-boerner-horvath-1973
Mialisa Bonta,2021,Meagan Levitt & Ethan Levitt,"1130 College Avenue, Alameda, CA 94501",,,"Over $100,000",Sale of,real property,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fe91809-68e5-4331-949b-75e9fea8b37d.pdf,https://calmatters.org/legislator-tracker/mia-bonta
Mialisa Bonta,2021,Meagan Levitt & Ethan Levitt,"1130 College Avenue, Alameda, CA 94501",,Seller,"Over $100,000",Sale of,real property,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fe91809-68e5-4331-949b-75e9fea8b37d.pdf,https://calmatters.org/legislator-tracker/mia-bonta
Mialisa Bonta,2021,Mills College,"500 MacArthur Blvd., Oakland, CA 94613",,Adjunct Professor,"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fe91809-68e5-4331-949b-75e9fea8b37d.pdf,https://calmatters.org/legislator-tracker/mia-bonta
Mialisa Bonta,2021,Mills College,"500 MacArthur Blvd. Oakland, CA 94613",,Adjunct Professor,"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fe91809-68e5-4331-949b-75e9fea8b37d.pdf,https://calmatters.org/legislator-tracker/mia-bonta
Mialisa Bonta,2021,Oakland Promise,"300 Frank Ogawa Plaza, Suite 430, Oakland,",Non-Profit,CEO,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fe91809-68e5-4331-949b-75e9fea8b37d.pdf,https://calmatters.org/legislator-tracker/mia-bonta
Mialisa Bonta,2021,Oakland Promise,"300 Frank Ogawa Plaza, Suite 430, Oakland, CA 94612",Non-Profit,CEO,"$10,001 - $100,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/4fe91809-68e5-4331-949b-75e9fea8b37d.pdf,https://calmatters.org/legislator-tracker/mia-bonta
Andreas Borgeas,2021,California State University of Fresno,"4910 N Chestnut, Fresno CA 93726",State University,Professor,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/7566841f-0e31-40ff-a51e-070438dda682.pdf,https://calmatters.org/legislator-tracker/andreas-borgeas
Andreas Borgeas,2021,California State University of Fresno Foundation,"4910 N Chestnut, Fresno CA 93726",State University,Program Specialist,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/7566841f-0e31-40ff-a51e-070438dda682.pdf,https://calmatters.org/legislator-tracker/andreas-borgeas
Andreas Borgeas,2021,The California 911 Memorial,"3485 Never Forget Lane, Clovis CA",911 Memorial,Executive Director,"$10,001 - $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/7566841f-0e31-40ff-a51e-070438dda682.pdf,https://calmatters.org/legislator-tracker/andreas-borgeas
Isaac Bryan,2021,The Disney Foundation,"3500 W Olive Ave Ste 700 Burbank, CA 91505",Social Justice Foundation,Communications Consultant,"$1,001 - $10,000",Other,,,Nonemployee compensation,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/21a6f292-f1a2-4525-abcb-116b17a2ef64.pdf,https://calmatters.org/legislator-tracker/isaac-bryan-1992
Steven Choi,2021,"New Era Academy, Inc. Kumon Math & Reading","4199 Campus Drive Irvine, CA 92612",Tutoring,Principal Educator,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8a8da3e0-e42e-4e18-86b5-01a84c5aade5.pdf,https://calmatters.org/legislator-tracker/steven-choi
Damon Connolly,2022,"Lerner Poole & Stewart, LLP","535 Pacific Avenue San Francisco, CA 941133",Law Firm,Spouse-Paralegal,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/9b49afd4-37e7-4367-b42e-86052ef70145.pdf,https://calmatters.org/legislator-tracker/damon-connolly-1963
Damon Connolly,2023,"Lerner Poole & Stewart, LLP ","535 Pacific Avenue San Francisco, CA 94133 ",Law Firm,Spouse-Paralegal,"Over $100,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/ecc684db-8c68-4dff-bdf6-9c120732cd2a.pdf,https://calmatters.org/legislator-tracker/damon-connolly-1963
Ken Cooley,2021,Cordova Neighborhood. Church,"10604 Coloma Road .Rancho Cordova, CA 95670",Church,None,"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/8a54d8f2-c791-4e9f-8bda-2a5d739c5b46.pdf,https://calmatters.org/legislator-tracker/ken-cooley
Dave Cortese,2021,van Keulen & van Keulen Law Office,17600 Monterey St. Ste. D Morgan Hill CA,Law Office,Attorney of Counsel,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/a2048986-e246-464e-9293-32223da16981.pdf,https://calmatters.org/legislator-tracker/dave-cortese
Dave Cortese,2022,van Keulen & van Keulen Law Office ,17600 Monterey St. Ste. D Morgan Hill CA,Law Office,Attorney of Counsel,"$1,001 - $10,000",Salary,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/f336db39-c72c-42ad-bc7f-5853af1751b9.pdf,https://calmatters.org/legislator-tracker/dave-cortese-1956
Dave Cortese,2023,Carry the Vision,"7365 Monterey Street #203, Gilroy CA",Nonprofit - Community Based Organization,Program Instructor (spouse),"$1,001 - $10,000",Spouse's or partner's income,,,,https://wcfweenxfcmsichcbyki.supabase.in/storage/v1/object/public/pdfs/11b6b655-c141-4982-a5a5-40451863678e.pdf,https://calmatters.org/legislator-tracker/dave-cortese-1956
